L-BFGS_0	2.456609e-03	1.103923e-05	8.968367e-06	1.263002e-03
L-BFGS_100	3.718400e-04	5.299588e-07	1.503882e-06	3.038053e-04
L-BFGS_200	1.264136e-04	3.286414e-07	9.195676e-07	8.435376e-05
L-BFGS_300	4.446729e-05	5.997252e-08	2.548165e-07	3.592187e-05
L-BFGS_400	1.541596e-05	3.687478e-08	1.140691e-07	1.058780e-05
L-BFGS_0	2.616987e-03	1.291221e-05	8.865622e-06	1.237109e-03
L-BFGS_100	3.964272e-04	4.481611e-07	1.079430e-06	3.408168e-04
L-BFGS_200	1.341438e-04	3.297416e-07	1.081557e-06	9.035411e-05
L-BFGS_300	3.609081e-05	5.800283e-08	1.986325e-07	2.830421e-05
L-BFGS_400	1.495393e-05	4.127489e-08	1.166519e-07	9.659918e-06
L-BFGS_500	9.484815e-06	2.826287e-08	1.531183e-07	5.127346e-06
L-BFGS_0	2.510328e-03	1.104766e-05	1.105544e-05	1.295007e-03
L-BFGS_100	4.376072e-04	7.655656e-07	8.267213e-07	3.527834e-04
L-BFGS_200	1.354457e-04	3.931800e-07	1.248077e-06	8.364697e-05
L-BFGS_300	3.897876e-05	4.822540e-08	1.780881e-07	3.237534e-05
L-BFGS_400	1.332754e-05	3.388014e-08	1.370431e-07	8.569092e-06
L-BFGS_0	2.550029e-03	1.193443e-05	1.123697e-05	1.244215e-03
L-BFGS_100	4.418230e-04	7.028765e-07	1.560759e-06	3.559278e-04
L-BFGS_200	1.378963e-04	2.288045e-07	1.013644e-06	1.048794e-04
L-BFGS_300	5.483611e-05	7.688318e-08	1.815033e-07	4.533276e-05
L-BFGS_400	2.065510e-05	4.384897e-08	2.403489e-07	1.386671e-05
L-BFGS_0	1.054427e-02	8.672330e-05	1.001876e-04	1.740132e-04
L-BFGS_100	2.273017e-04	2.322193e-07	2.113640e-06	3.658867e-05
L-BFGS_200	9.095136e-05	1.457713e-07	6.693407e-07	1.393616e-05
L-BFGS_300	4.502344e-05	1.154792e-07	8.163826e-07	5.062340e-06
L-BFGS_400	3.028808e-05	8.607122e-08	6.140180e-07	3.108156e-06
L-BFGS_500	2.094209e-05	4.257488e-08	5.321187e-07	2.272683e-06
L-BFGS_600	1.707868e-05	3.393638e-08	5.725205e-07	1.591968e-06
